Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t)
Agriculture and Agri-Food Canada,FY 2005-06,facilities,2,electricity,524494.1065,54100.25373
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,natural gas,446241.3017,22229.48008
Agriculture and Agri-Food Canada,FY 2005-06,facilities,2,district energy,154568,11203.65196
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,gasoline,73844.05779,4540.532151
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",59955.49569,4271.967786
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",41332.3642,2915.521965
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,fuels with renewable content,14431.98297,591.2746769
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,liquified petroleum gas,1769.303143,107.9541955
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,liquified petroleum gas,68.28638,4.15583732
Agriculture and Agri-Food Canada,FY 2010-11,facilities,2,Electricity,469326.7928,46228.79886
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,Natural gas,487357.7284,24291.45813
Agriculture and Agri-Food Canada,FY 2010-11,facilities,2,District energy,121579.1206,9297.939279
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",43348.97408,3085.821299
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",42780.6021,3017.765362
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,Gasoline,40747.665,2611.819489
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,Fuels with renewable content,17497.65114,843.4562475
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,Liquified petroleum gas,1041.673546,63.5457904
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,Natural gas,0.029108,0.001660611
Agriculture and Agri-Food Canada,FY 2011-12,facilities,2,Electricity,459553.8852,40389.6687
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,Natural gas,451914.4942,22524.85469
Agriculture and Agri-Food Canada,FY 2011-12,facilities,2,District energy,113769,8744.630027
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Gasoline,49424.662,3167.89776
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",43460.4095,3045.351771
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",42760.4712,3043.928388
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Fuels with renewable content,21330.05094,1187.84725
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,Liquified petroleum gas,866.96874,52.888176
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Liquified petroleum gas,23.23458,1.41403212
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Natural gas,0.006194,0.000353368
Agriculture and Agri-Food Canada,FY 2012-13,facilities,2,Electricity,463884.786,42524.77905
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,Natural gas,472787.1224,23565.21282
Agriculture and Agri-Food Canada,FY 2012-13,facilities,2,District energy,85865,7000.946186
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Gasoline,53793.18875,3448.622317
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",38482.8953,2739.64831
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",36279.80267,2540.648482
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Fuels with renewable content,18272.93625,1018.633777
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,Liquified petroleum gas,2605.58857,158.950168
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Liquified petroleum gas,60.66807,3.69219498
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Natural gas,0.010754,0.000613516
Agriculture and Agri-Food Canada,FY 2013-14,facilities,2,Electricity,455846.6052,37340.02912
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,Natural gas,540121.8912,26921.3917
Agriculture and Agri-Food Canada,FY 2013-14,facilities,2,District energy,81635.4,6734.88815
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",43602.27099,3062.184135
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",42152.1492,3000.843948
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,Gasoline,43037.78955,2758.349001
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,Fuels with renewable content,16170.98017,930.8289252
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,Liquified petroleum gas,2785.49205,169.92492
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,Liquified petroleum gas,58.840688,3.580982432
Agriculture and Agri-Food Canada,FY 2014-15,facilities,2,Electricity,427400.6487,35417.75366
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,Natural gas,518947.2894,25865.98225
Agriculture and Agri-Food Canada,FY 2014-15,facilities,2,District energy,50390,4182.11805
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",45312.71353,3230.888547
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",36849.08425,2582.923652
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,Gasoline,31558.3345,2022.614458
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,Fuels with renewable content,18779.75426,1085.674583
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,Liquified petroleum gas,1396.620986,85.1988464
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,Liquified petroleum gas,11.614759,0.706862026
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,Natural gas,1.14522006,0.065334804
Agriculture and Agri-Food Canada,FY 2015-16,facilities,2,Electricity,442918.71,34342.37436
Agriculture and Agri-Food Canada,FY 2015-16,facilities,1,Natural gas,458735.1044,22864.81558
Agriculture and Agri-Food Canada,FY 2015-16,facilities,2,District energy,96690,8024.78655
Agriculture and Agri-Food Canada,FY 2015-16,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",41076.5269,2926.680692
Agriculture and Agri-Food Canada,FY 2015-16,fleets,1,Gasoline,39403.357,2525.889848
Agriculture and Agri-Food Canada,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",32391.89277,2271.255395
Agriculture and Agri-Food Canada,FY 2015-16,fleets,1,Fuels with renewable content,12376.28207,702.1904996
Agriculture and Agri-Food Canada,FY 2015-16,facilities,1,Liquified petroleum gas,846.54357,51.642168
Agriculture and Agri-Food Canada,FY 2015-16,fleets,1,Liquified petroleum gas,1.500883,0.091342162
Agriculture and Agri-Food Canada,FY 2015-16,fleets,1,Natural gas,1.08308284,0.061789876
Agriculture and Agri-Food Canada,FY 2016-17,facilities,2,Electricity,450200.7144,33576.05531
Agriculture and Agri-Food Canada,FY 2016-17,facilities,1,Natural gas,509730.9019,25406.60821
Agriculture and Agri-Food Canada,FY 2016-17,facilities,2,District energy,48153,3996.458235
Agriculture and Agri-Food Canada,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",44854.1695,3197.193788
Agriculture and Agri-Food Canada,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",33326.15076,2327.074888
Agriculture and Agri-Food Canada,FY 2016-17,fleets,1,Gasoline,32818.0874,2103.507739
Agriculture and Agri-Food Canada,FY 2016-17,fleets,1,Fuels with renewable content,10630.82775,613.1531635
Agriculture and Agri-Food Canada,FY 2016-17,facilities,1,Liquified petroleum gas,944.69575,57.6298
Agriculture and Agri-Food Canada,FY 2016-17,fleets,1,Liquified petroleum gas,3.348513,0.203786982
Agriculture and Agri-Food Canada,FY 2017-18,facilities,2,electricity,467019.2456,29965.32391
Agriculture and Agri-Food Canada,FY 2017-18,facilities,1,natural gas,521860.5845,26044.14778
Agriculture and Agri-Food Canada,FY 2017-18,facilities,2,district energy,50900,4302.213429
Agriculture and Agri-Food Canada,FY 2017-18,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",44128.3115,3145.033964
Agriculture and Agri-Food Canada,FY 2017-18,fleets,1,gasoline,32030.1744,2129.898384
Agriculture and Agri-Food Canada,FY 2017-18,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",24827.16496,1750.614964
Agriculture and Agri-Food Canada,FY 2017-18,fleets,1,fuels with renewable content,7646.529962,500.3094519
Agriculture and Agri-Food Canada,FY 2017-18,facilities,1,liquified petroleum gas,766.56397,46.7719718
Agriculture and Agri-Food Canada,FY 2017-18,fleets,1,liquified petroleum gas,11.442651,0.696387714
Canada Border Services Agency,FY 2005-06,facilities,2,electricity,101139.3235,4238.976006
Canada Border Services Agency,FY 2005-06,fleets,1,gasoline,65059.25526,3939.519854
Canada Border Services Agency,FY 2005-06,facilities,1,natural gas,51557.72212,2576.916065
Canada Border Services Agency,FY 2005-06,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",11963.4686,854.3427471
Canada Border Services Agency,FY 2005-06,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",5738.1443,410.2928988
Canada Border Services Agency,FY 2005-06,facilities,1,liquified petroleum gas,2338.66931,142.6941251
Canada Border Services Agency,FY 2005-06,fleets,1,fuels with renewable content,865.86792,53.3444706
Canada Border Services Agency,FY 2010-11,facilities,2,Electricity,104926.9932,5157.514731
Canada Border Services Agency,FY 2010-11,fleets,1,Gasoline,54108.425,3467.577065
Canada Border Services Agency,FY 2010-11,facilities,1,Natural gas,41956.2986,2091.23527
Canada Border Services Agency,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",9921.7929,706.869174
Canada Border Services Agency,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",4263.8241,303.9798669
Canada Border Services Agency,FY 2010-11,fleets,1,Fuels with renewable content,6681.681971,207.1712412
Canada Border Services Agency,FY 2010-11,facilities,1,Liquified petroleum gas,2778.86083,169.520392
Canada Border Services Agency,FY 2011-12,facilities,2,Electricity,115084.9152,4314.179175
Canada Border Services Agency,FY 2011-12,fleets,1,Gasoline,54031.796,3462.666241
Canada Border Services Agency,FY 2011-12,facilities,1,Natural gas,50814.0625,2532.734375
Canada Border Services Agency,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",10248.8697,730.159092
Canada Border Services Agency,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",4264.8199,303.9153436
Canada Border Services Agency,FY 2011-12,facilities,1,Liquified petroleum gas,3184.98509,194.295416
Canada Border Services Agency,FY 2011-12,fleets,1,Fuels with renewable content,7420.5016,118.3058164
Canada Border Services Agency,FY 2012-13,facilities,2,Electricity,122119.0668,4720.629696
Canada Border Services Agency,FY 2012-13,facilities,1,Natural gas,68107.42946,3394.690747
Canada Border Services Agency,FY 2012-13,fleets,1,Gasoline,48819.771,3128.649896
Canada Border Services Agency,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",11055.5478,787.419186
Canada Border Services Agency,FY 2012-13,facilities,1,Liquified petroleum gas,3758.83872,229.302528
Canada Border Services Agency,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3056.90684,218.2362764
Canada Border Services Agency,FY 2012-13,fleets,1,Fuels with renewable content,8461.74265,128.7561437
Canada Border Services Agency,FY 2013-14,facilities,2,Electricity,123563.6109,4242.521163
Canada Border Services Agency,FY 2013-14,facilities,1,Natural gas,70647.02611,3521.272315
Canada Border Services Agency,FY 2013-14,fleets,1,Gasoline,49525.49,3173.876402
Canada Border Services Agency,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",13709.31437,979.9382005
Canada Border Services Agency,FY 2013-14,fleets,1,Fuels with renewable content,10693.70809,654.7768535
Canada Border Services Agency,FY 2013-14,facilities,1,Liquified petroleum gas,4173.373999,254.5906541
Canada Border Services Agency,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",2907.5828,207.7827304
Canada Border Services Agency,FY 2014-15,facilities,2,Electricity,121451.274,4017.54444
Canada Border Services Agency,FY 2014-15,fleets,1,Gasoline,51177.29015,3279.733194
Canada Border Services Agency,FY 2014-15,facilities,1,Natural gas,62995.9126,3139.916501
Canada Border Services Agency,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",9539.075241,683.5871718
Canada Border Services Agency,FY 2014-15,fleets,1,Fuels with renewable content,10676.96116,653.7547782
Canada Border Services Agency,FY 2014-15,facilities,1,Liquified petroleum gas,3802.189688,231.9470912
Canada Border Services Agency,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3225.845459,230.5393747
Canada Border Services Agency,FY 2014-15,fleets,1,Liquified petroleum gas,4.730439,0.287889546
Canada Border Services Agency,FY 2015-16,facilities,2,Electricity,126115.6032,3901.494632
Canada Border Services Agency,FY 2015-16,fleets,1,Gasoline,50682.8665,3248.030334
Canada Border Services Agency,FY 2015-16,facilities,1,Natural gas,62221.0902,3101.29689
Canada Border Services Agency,FY 2015-16,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",15641.99209,1121.6972
Canada Border Services Agency,FY 2015-16,fleets,1,Fuels with renewable content,10433.56622,639.7877599
Canada Border Services Agency,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3050.665935,217.2889627
Canada Border Services Agency,FY 2015-16,facilities,1,Liquified petroleum gas,2764.082321,168.6188504
Canada Border Services Agency,FY 2016-17,facilities,2,Electricity,121035.7548,3907.03357
Canada Border Services Agency,FY 2016-17,fleets,1,Gasoline,59451.7,3809.99444
Canada Border Services Agency,FY 2016-17,facilities,1,Natural gas,55528.88056,2767.735892
Canada Border Services Agency,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",20256.8078,1456.31689
Canada Border Services Agency,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3185.89718,227.1646911
Canada Border Services Agency,FY 2016-17,facilities,1,Liquified petroleum gas,2015.76433,122.968792
Canada Border Services Agency,FY 2016-17,fleets,1,Fuels with renewable content,302.42472,18.4342076
Canada Border Services Agency,FY 2017-18,facilities,2,electricity,117646.0975,3933.881109
Canada Border Services Agency,FY 2017-18,fleets,1,gasoline,57933.925,3834.819806
Canada Border Services Agency,FY 2017-18,facilities,1,natural gas,60577.70241,3024.789273
Canada Border Services Agency,FY 2017-18,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",16254.37528,1168.269169
Canada Border Services Agency,FY 2017-18,facilities,1,liquified petroleum gas,3439.368307,209.8533766
Canada Border Services Agency,FY 2017-18,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",2807.8496,200.7688708
Canada Border Services Agency,FY 2017-18,fleets,1,fuels with renewable content,266.10908,11.66233537
Canada Border Services Agency,FY 2017-18,fleets,1,liquified petroleum gas,5.18855,0.3157697
Canada Revenue Agency,FY 2005-06,fleets,1,gasoline,5469.99394,331.2234308
Canada Revenue Agency,FY 2005-06,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",925.9025,66.20454295
Canada Revenue Agency,FY 2010-11,fleets,1,Gasoline,3925.495,251.568151
Canada Revenue Agency,FY 2010-11,fleets,1,Fuels with renewable content,1001.07061,61.2955805
Canada Revenue Agency,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",821.2286,58.72007487
Canada Revenue Agency,FY 2011-12,fleets,1,Gasoline,4425.575,283.616135
Canada Revenue Agency,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",766.16155,54.44578815
Canada Revenue Agency,FY 2011-12,fleets,1,Fuels with renewable content,559.43492,34.3046286
Canada Revenue Agency,FY 2012-13,fleets,1,Gasoline,3838.625,246.001025
Canada Revenue Agency,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",714.32273,51.04482888
Canada Revenue Agency,FY 2012-13,fleets,1,Fuels with renewable content,430.32674,26.3876967
Canada Revenue Agency,FY 2013-14,fleets,1,Gasoline,3496.01,224.044298
Canada Revenue Agency,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",735.8579,52.615838
Canada Revenue Agency,FY 2013-14,fleets,1,Fuels with renewable content,346.52324,21.2488542
Canada Revenue Agency,FY 2014-15,fleets,1,Gasoline,3259.48,208.886104
Canada Revenue Agency,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",461.9746,33.03243835
Canada Revenue Agency,FY 2014-15,fleets,1,Fuels with renewable content,311.64744,19.1102652
Canada Revenue Agency,FY 2015-16,fleets,1,Gasoline,2918.6829,187.0458784
Canada Revenue Agency,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",332.62784,23.78379378
Canada Revenue Agency,FY 2015-16,fleets,1,Fuels with renewable content,261.084302,16.00972641
Canada Revenue Agency,FY 2016-17,fleets,1,Gasoline,3120.72075,199.9936184
Canada Revenue Agency,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",513.84812,36.74153589
Canada Revenue Agency,FY 2016-17,fleets,1,Fuels with renewable content,9.334328,0.12762324
Canada Revenue Agency,FY 2017-18,fleets,1,gasoline,2974.86035,196.9145062
Canada Revenue Agency,FY 2017-18,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",304.57309,21.77780297
Canada Revenue Agency,FY 2017-18,fleets,1,fuels with renewable content,29.707847,2.009430485
Canadian Space Agency,FY 2005-06,facilities,1,natural gas,21915.94016,1086.965445
Canadian Space Agency,FY 2005-06,facilities,2,electricity,47026.15398,1080.851342
Canadian Space Agency,FY 2005-06,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",847.4641,61.94949295
Canadian Space Agency,FY 2017-18,facilities,1,natural gas,21949.60896,1088.669542
Canadian Space Agency,FY 2017-18,facilities,2,electricity,54243.15101,167.7465837
Canadian Space Agency,FY 2017-18,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",244.737,17.89023636
Correctional Services Canada,FY 2005-06,facilities,1,natural gas,1532105.767,76159.57388
Correctional Services Canada,FY 2005-06,facilities,2,electricity,725812.9798,52997.33758
Correctional Services Canada,FY 2005-06,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",113499.548,8263.80877
Correctional Services Canada,FY 2005-06,fleets,1,gasoline,40811.63592,2471.259
Correctional Services Canada,FY 2005-06,facilities,1,liquified petroleum gas,10149.27364,619.2588734
Correctional Services Canada,FY 2005-06,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3023.9765,216.223
Correctional Services Canada,FY 2005-06,fleets,1,fuels with renewable content,1804.30913,83.394
Correctional Services Canada,FY 2005-06,fleets,1,liquified petroleum gas,1067.17084,64.947
Correctional Services Canada,FY 2005-06,fleets,1,Natural gas,0.594244,0.034
Correctional Services Canada,FY 2017-18,facilities,1,natural gas,1457165.759,72502.37867
Correctional Services Canada,FY 2017-18,facilities,2,electricity,758872.4101,39432.98669
Correctional Services Canada,FY 2017-18,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",76998.23728,5505.748783
Correctional Services Canada,FY 2017-18,fleets,1,gasoline,36097.663,2389.40745
Correctional Services Canada,FY 2017-18,facilities,1,liquified petroleum gas,8829.096064,538.7081161
Correctional Services Canada,FY 2017-18,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1736.57562,124.1698723
Correctional Services Canada,FY 2017-18,fleets,1,fuels with renewable content,382.346741,25.26290949
Correctional Services Canada,FY 2017-18,fleets,1,liquified petroleum gas,1.025055,0.06238377
Employment and Social Development Canada,FY 2005-06,fleets,1,gasoline,22994.56608,1392.384
Employment and Social Development Canada,FY 2005-06,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",207.1647,14.813
Employment and Social Development Canada,FY 2005-06,fleets,1,fuels with renewable content,111.5687,6.873
Employment and Social Development Canada,FY 2005-06,fleets,1,liquified petroleum gas,2.80941,0.171
Employment and Social Development Canada,FY 2010-11,fleets,1,Gasoline,13930.14,892.722972
Employment and Social Development Canada,FY 2010-11,fleets,1,Fuels with renewable content,473.14837,28.97372835
Employment and Social Development Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",217.97093,15.56466528
Employment and Social Development Canada,FY 2010-11,fleets,1,Liquified petroleum gas,1.7717,0.1078238
Employment and Social Development Canada,FY 2010-11,fleets,1,Natural gas,0.005092,0.000290499
Employment and Social Development Canada,FY 2011-12,fleets,1,Gasoline,11864.1425,760.3220465
Employment and Social Development Canada,FY 2011-12,fleets,1,Fuels with renewable content,1167.895734,71.61553197
Employment and Social Development Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",247.010301,17.55082656
Employment and Social Development Canada,FY 2011-12,fleets,1,Liquified petroleum gas,2.143757,0.130466798
Employment and Social Development Canada,FY 2011-12,fleets,1,Natural gas,0.014345,0.000818382
Employment and Social Development Canada,FY 2012-13,fleets,1,Gasoline,9702.875,621.815675
Employment and Social Development Canada,FY 2012-13,fleets,1,Fuels with renewable content,997.10928,61.1428824
Employment and Social Development Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",122.6749,8.771588462
Employment and Social Development Canada,FY 2012-13,fleets,1,Liquified petroleum gas,0.78461,0.04775054
Employment and Social Development Canada,FY 2012-13,fleets,1,Natural gas,0.010222,0.000583165
Employment and Social Development Canada,FY 2013-14,fleets,1,Gasoline,7912.583,507.0835334
Employment and Social Development Canada,FY 2013-14,fleets,1,Fuels with renewable content,828.990994,50.83384527
Employment and Social Development Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",8.18854,0.585502845
Employment and Social Development Canada,FY 2013-14,fleets,1,Liquified petroleum gas,0.774486,0.047134404
Employment and Social Development Canada,FY 2014-15,fleets,1,Gasoline,5399.9645,346.0605821
Employment and Social Development Canada,FY 2014-15,fleets,1,Fuels with renewable content,549.205814,33.67737837
Employment and Social Development Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1.94564,0.139118543
Employment and Social Development Canada,FY 2015-16,fleets,1,Gasoline,5114.34455,327.7564236
Employment and Social Development Canada,FY 2016-17,fleets,1,Gasoline,4962.1705,318.0042409
Employment and Social Development Canada,FY 2016-17,fleets,1,Fuels with renewable content,8.170418,0.50101119
Employment and Social Development Canada,FY 2017-18,fleets,1,gasoline,4861.6505,321.806537
Employment and Social Development Canada,FY 2017-18,fleets,1,fuels with renewable content,1.174942,0.072385935
Environment and Climate Change Canada,FY 2005-06,facilities,1,natural gas,189183.878,9363.269974
Environment and Climate Change Canada,FY 2005-06,facilities,2,electricity,108129.9743,5851.645136
Environment and Climate Change Canada,FY 2005-06,fleets,1,gasoline,63512.04543,3931.18792
Environment and Climate Change Canada,FY 2005-06,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",19041.31741,1391.917319
Environment and Climate Change Canada,FY 2005-06,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",4571.942238,326.0864853
Environment and Climate Change Canada,FY 2005-06,fleets,1,fuels with renewable content,2646.580557,164.2430532
Environment and Climate Change Canada,FY 2005-06,fleets,1,aviation fuel,2152.01024,152.3915443
Environment and Climate Change Canada,FY 2005-06,facilities,1,liquified petroleum gas,1696.90895,103.5370571
Environment and Climate Change Canada,FY 2005-06,fleets,1,liquified petroleum gas,465.5000014,28.32984086
Environment and Climate Change Canada,FY 2005-06,fleets,1,Natural gas,0.08379,0.00478022
Environment and Climate Change Canada,FY 2010-11,facilities,1,Natural gas,203742.1137,10155.15449
Environment and Climate Change Canada,FY 2010-11,facilities,2,Electricity,140449.7124,4753.693988
Environment and Climate Change Canada,FY 2010-11,fleets,1,Gasoline,49709.492,3186.645318
Environment and Climate Change Canada,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",21414.4109,1565.5444
Environment and Climate Change Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",7151.683081,509.6449396
Environment and Climate Change Canada,FY 2010-11,fleets,1,Fuels with renewable content,5340.223528,327.3248192
Environment and Climate Change Canada,FY 2010-11,facilities,1,Liquified petroleum gas,1627.88858,99.306992
Environment and Climate Change Canada,FY 2010-11,fleets,1,Liquified petroleum gas,4.651978,0.283114492
Environment and Climate Change Canada,FY 2010-11,fleets,1,Natural gas,0.005225,0.000298086
Environment and Climate Change Canada,FY 2011-12,facilities,1,Natural gas,178933.2074,8918.599751
Environment and Climate Change Canada,FY 2011-12,facilities,2,Electricity,148566.3189,4575.685948
Environment and Climate Change Canada,FY 2011-12,fleets,1,Gasoline,45587.3635,2922.423127
Environment and Climate Change Canada,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",21749.91507,1590.07212
Environment and Climate Change Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",7178.696494,510.7494136
Environment and Climate Change Canada,FY 2011-12,fleets,1,Fuels with renewable content,6507.67191,399.0513641
Environment and Climate Change Canada,FY 2011-12,facilities,1,Liquified petroleum gas,743.75966,45.371984
Environment and Climate Change Canada,FY 2011-12,fleets,1,Liquified petroleum gas,31.417303,1.912024042
Environment and Climate Change Canada,FY 2012-13,facilities,1,Natural gas,184346.5128,9188.416099
Environment and Climate Change Canada,FY 2012-13,facilities,2,Electricity,110743.9236,4485.182889
Environment and Climate Change Canada,FY 2012-13,fleets,1,Gasoline,40713.435,2609.892793
Environment and Climate Change Canada,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",20009.069,1462.804
Environment and Climate Change Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",6640.36974,473.7736276
Environment and Climate Change Canada,FY 2012-13,fleets,1,Fuels with renewable content,6252.431844,383.400007
Environment and Climate Change Canada,FY 2012-13,facilities,1,Liquified petroleum gas,1665.19552,101.582848
Environment and Climate Change Canada,FY 2012-13,fleets,1,Liquified petroleum gas,1.946339,0.118452146
Environment and Climate Change Canada,FY 2013-14,facilities,1,Natural gas,191639.5575,9551.924625
Environment and Climate Change Canada,FY 2013-14,facilities,2,Electricity,108994.9284,3587.711426
Environment and Climate Change Canada,FY 2013-14,fleets,1,Gasoline,39620.007,2539.784047
Environment and Climate Change Canada,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",19440.1608,1421.2128
