cartodb_id,the_geom,CountryName,Average_value,value_type,,Year
87,,Guinea-Bissau,-0.24,annual_mean,,1935
88,,Equatorial Guinea,-0.24,five_year_mean,,1936
89,,Greece,-0.28,annual_mean,,1937
90,,Grenada,-0.23,five_year_mean,,1938
91,,Greenland,-0.21,annual_mean,,1939
92,,Guatemala,-0.22,five_year_mean,,1940
93,,Guam,-0.1,annual_mean,,1941
94,,Guyana,-0.21,five_year_mean,,1942
95,,High income,-0.21,annual_mean,,1943
96,,"Hong Kong SAR, China",-0.21,five_year_mean,,1944
97,,Honduras,-0.21,annual_mean,,1945
98,,Heavily indebted poor countries (HIPC),-0.19,five_year_mean,,1946
99,,Croatia,-0.36,annual_mean,,1947
100,,Haiti,-0.19,five_year_mean,,1948
101,,Hungary,-0.15,annual_mean,,1949
102,,IBRD only,-0.19,five_year_mean,,1950
103,,IDA & IBRD total,-0.09,annual_mean,,1951
104,,IDA total,-0.19,five_year_mean,,1952
105,,IDA blend,-0.17,annual_mean,,1953
106,,Indonesia,-0.18,five_year_mean,,1954
107,,IDA only,-0.28,annual_mean,,1955
108,,Isle of Man,-0.17,five_year_mean,,1956
109,,India,-0.14,annual_mean,,1957
110,,Not classified,-0.16,five_year_mean,,1958
111,,Ireland,-0.2,annual_mean,,1959
112,,"Iran, Islamic Rep.",-0.14,five_year_mean,,1960
113,,Iraq,-0.15,annual_mean,,1961
114,,Iceland,-0.12,five_year_mean,,1962
115,,Israel,-0.03,annual_mean,,1963
116,,Italy,-0.08,five_year_mean,,1964
117,,Jamaica,-0.03,annual_mean,,1965
118,,Jordan,-0.03,five_year_mean,,1966
119,,Japan,-0.03,annual_mean,,1967
120,,Kazakhstan,0.01,five_year_mean,,1968
121,,Kenya,0.08,annual_mean,,1969
122,,Kyrgyz Republic,0.05,five_year_mean,,1970
123,,Cambodia,0.12,annual_mean,,1971
124,,Kiribati,0.08,five_year_mean,,1972
125,,St. Kitts and Nevis,0.09,annual_mean,,1973
126,,"Korea, Rep.",0.11,five_year_mean,,1974
127,,Kuwait,0.13,annual_mean,,1975
128,,Latin America & Caribbean (excluding high income),0.11,five_year_mean,,1976
129,,Lao PDR,0.25,annual_mean,,1977
130,,Lebanon,0.09,five_year_mean,,1978
131,,Liberia,0.12,annual_mean,,1979
132,,Libya,0.06,five_year_mean,,1980
133,,St. Lucia,-0.04,annual_mean,,1981
134,,Latin America & Caribbean,0.02,five_year_mean,,1982
